id,address,brokers,city,country,county,dateAdded,dateUpdated,descriptions,domains,floorSizeValue,floorSizeUnit,geoLocation,imageURLs,latitude,legalDescription,longitude,lotSizeValue,lotSizeUnit,mostRecentBrokerAgent,mostRecentBrokerCompany,mostRecentBrokerDateSeen,mostRecentPriceAmount.1,mostRecentPriceDomain.1,mostRecentPricePerSquareFoot,mostRecentPriceDate.1,mostRecentPriceFirstDateSeen.1,mostRecentStatus,mostRecentStatusDate,mostRecentStatusFirstDateSeen,mlsNumber,numBathroom,numBedroom,numFloor,parking,people,postalCode,prices,propertyType,province,sourceURLs,statuses,yearBuilt
ded89dd6-6801-4933-a2b8-3e6f6811e4f5,"48837 Stanley Fork Suite 942, Codyhaven, NH 20729","Gates, Romero and Todd",New York,IN,Harris County,2022-11-13,2024-04-19,Election degree before tend.,andrews.com,5939.12,sq ft,"-15.453554, 108.669132",https://dummyimage.com/32x1,-66.324366,Bank test order hand ahead government suddenly.,-46.089131,3974.14,sq ft,Mckee-Allen,Johnson Group,2023-01-12,22808.16,805490.36,138108.76,2020-09-28,2021-02-13,Off Market,2023-04-10,2022-08-31,4,3,4,7,Carport,Jillian Morales,20632,673044.15,Commercial,BY,http://delgado.com/,Off Market,1959
3b68a6d8-6532-41ab-b3f4-dbfbb6329eb1,"7302 Jesse Canyon Apt. 512, East Stephanieport, DC 26990",Chavez-Klein,Houston,HK,Harris County,2020-10-01,2021-10-14,Friend service traditional person as.,tucker.com,3357.95,sq ft,"78.493618, -12.254646",https://placeimg.com/30/779/any,-8.764352,Speak wrong which hair.,2.202002,1763.21,sq ft,Watson Ltd,George PLC,2021-03-09,271911.69,67854.31,135726.66,2022-08-27,2022-05-26,For Sale,2021-05-04,2023-12-25,5,8,4,4,None,Shelly Hunt,33561,78616.59,Townhouse,BY,https://allen.com/,Off Market,1997
5d15a27f-6b56-45de-9190-2253a7293635,"0018 Morgan Green, South Meagan, MN 02602","King, Tyler and Carlson",Houston,DE,Los Angeles County,2024-12-18,2024-02-19,Pm visit college value bag administration.,best.com,9319.54,sq ft,"2.401283, -153.359126",https://dummyimage.com/695x842,-9.583775,Physical really tend pick write.,-52.863278,4222.15,sq ft,"Hensley, Jones and Pham","Curry, Hunter and Williams",2024-11-14,268225.97,707490.64,625508.05,2023-06-12,2020-12-28,For Sale,2020-12-19,2025-05-01,6,3,5,4,Garage,Bryan Morris PhD,33561,909144.61,Townhouse,QLD,https://guerrero-molina.com/,For Sale,1988
b3bb5f72-8834-4836-bbbf-79e91413b6a8,"04293 White Valleys Apt. 743, East Jessica, VT 86084","Chapman, Christensen and Martin",New York,IN,Los Angeles County,2021-12-13,2021-08-22,Sit although west image professional.,dillon.com,7436.85,sq ft,"-27.645047, 62.817634",https://placekitten.com/478/152,-41.887854,Tonight prevent remember agree join.,-153.731542,3964.15,sq ft,Rodriguez-Mitchell,Hanson and Sons,2022-11-05,983258.7,530335.05,858961.73,2022-11-22,2024-01-25,Sold,2023-06-09,2025-01-15,4,6,7,5,None,Denise Martinez,73774,635684.17,Condo,BC,https://www.reynolds.biz/,Off Market,1917
6228c466-78bb-45d6-b42b-1488b2032a7a,"27932 Kimberly Course, Levinetown, MI 77834",Taylor and Sons,Phoenix,FR,Los Angeles County,2024-02-07,2024-02-27,Carry newspaper major.,stewart-klein.biz,1313.99,sq ft,"-40.600842, 164.434068",https://dummyimage.com/836x508,50.092076,Open room single.,-140.073218,9654.15,sq ft,"Henry, Simmons and Hamilton","Rodriguez, Ortiz and Harrison",2021-02-05,203079.6,419996.65,383095.69,2020-10-10,2022-04-26,Pending,2024-07-07,2022-10-19,6,3,10,7,Garage,Terry Morgan,86763,304092.04,Land,BC,https://williams-rodriguez.com/,For Sale,2000
a9760c7c-feb1-4111-b140-679ec4779cd7,"3159 Ashley Orchard, North Hannahchester, FL 72166",Harris LLC,San Francisco,SG,San Diego County,2022-03-07,2023-03-29,Center out resource every wrong culture.,nguyen.com,5165.64,sq ft,"-32.013865, 102.273612",https://placekitten.com/507/331,-75.610877,Believe tree star article above.,117.346201,330.64,sq ft,"Flowers, Henderson and Robinson",Griffin-Barber,2021-01-27,319552.47,988181.83,698554.36,2024-09-01,2021-11-01,Off Market,2023-09-25,2025-04-27,6,2,10,3,Garage,Debra Terry,34007,280151.31,Commercial,BC,https://www.wright.com/,Sold,1952
54a187c7-e880-4529-97c1-de2011b5af5f,"05421 Albert Mission, Port Kevin, SD 08675",Rice Group,Chicago,JP,Cook County,2023-11-16,2022-11-08,Study TV relate tell institution.,young-garcia.com,2968.89,sq ft,"22.611035, -44.066775",https://placekitten.com/1021/620,-82.868227,Fine in side worker risk history.,89.4099,5962.08,sq ft,"Fisher, Davis and Casey","Bennett, Robertson and Marshall",2024-12-07,911561.96,864733.76,799291.72,2025-01-09,2023-05-05,Sold,2023-01-05,2024-10-07,9,7,9,2,Carport,Krystal Henry,31290,40434.01,Commercial,QLD,https://holland-guerra.org/,Sold,2004
c20b8b2a-3824-468d-80e3-5f7575f75ab3,"6490 Edwards Views, West Wendy, MN 78152",Jenkins-Delgado,Chicago,UK,San Diego County,2024-10-20,2024-02-24,Door describe without community.,aguilar.com,1289.63,sq ft,"-61.7558, 149.87614",https://dummyimage.com/752x674,18.476276,Keep occur arm song.,136.469868,4453.14,sq ft,Avila-Brown,Lin LLC,2020-12-31,689344.53,275330.96,45708.77,2023-04-30,2021-01-09,Pending,2021-04-07,2021-07-17,8,1,6,7,Driveway,Brian Vang,97098,291858.17,Multi-Family,ON,https://www.schultz.biz/,Pending,2000
6116013a-b71a-4103-8ec5-964e1a68ec13,"6848 Hernandez Fort Suite 821, Kaylachester, VA 30094",Guzman-Knox,Chicago,CA,Harris County,2024-06-05,2022-12-24,Development enter per off.,knight.com,7526.18,sq ft,"-84.666261, -145.503322",https://placeimg.com/151/274/any,-64.41536,Interest she kind project speak.,77.728856,5530.46,sq ft,Joseph and Sons,"Dixon, Long and Calhoun",2022-08-25,328478.59,185488.54,849913.44,2024-04-16,2022-10-19,For Sale,2022-12-13,2020-12-01,2,3,3,8,Garage,Aaron Nunez,19966,834181.16,Apartment,QLD,https://gilbert-torres.com/,Pending,1947
54e3648f-c7a9-4c34-ab86-d3e967d5638b,"14961 Cody Park Apt. 661, Jillside, VT 80275","Ellis, Wright and Sexton",Phoenix,SG,San Diego County,2024-01-11,2021-03-29,Debate rest old style protect.,murphy-stephens.com,8900.01,sq ft,"-9.282887, -41.417886",https://dummyimage.com/278x642,41.198355,Tonight provide father.,178.51552,7695.31,sq ft,Rush Group,"Luna, Williams and Carr",2023-07-27,810699.01,928693.02,855740.01,2021-04-09,2021-05-14,For Sale,2022-11-21,2023-03-07,9,1,9,8,Street,Gail Keith,72382,370175.64,Apartment,BY,https://www.li.com/,Off Market,1940
