id,address,apiURLs,assessedValues,brokers,buildingName,city,companies,congressionalDistrictHouse,country,county,countyFIPS,currentOwnerType,dateAdded,dateUpdated,deposits,descriptions,domains,estimatedPrices,features,fees,floorSizeValue,floorSizeUnit,geoLocation,imageURLs,instrumentNumber,keys,languagesSpoken,latitude,leasingTerms,legalDescription,legalRange,listingName,longitude,lotSizeValue,lotSizeUnit,managedBy,mostRecentPriceAmount,mostRecentPriceDomain,mostRecentPriceSourceURL,mostRecentPriceDate,mostRecentPriceFirstDateSeen,mostRecentBrokerAgent,mostRecentBrokerCompany,mostRecentBrokerEmails,mostRecentBrokerPhones,mostRecentBrokerDateSeen,mostRecentPriceAmount.1,mostRecentPriceDomain.1,mostRecentPricePerSquareFoot,mostRecentPriceSourceURL.1,mostRecentPriceDate.1,mostRecentPriceFirstDateSeen.1,mostRecentRentalPriceAmount,mostRecentRentalPricePeriod,mostRecentRentalPriceDomain,mostRecentRentalPricePerSquareFoot,mostRecentRentalPriceSourceURL,mostRecentRentalPriceDate,mostRecentRentalPriceFirstDateSeen,mostRecentEstimatedPriceAmount,mostRecentEstimatedPriceDomain,mostRecentEstimatedPricePerSquareFoot,mostRecentEstimatedPriceSourceURL,mostRecentEstimatedPriceDate,mostRecentEstimatedPriceFirstDateSeen,mostRecentStatus,mostRecentStatusDate,mostRecentStatusFirstDateSeen,mostRecentVacancy,mostRecentVacancyFirstDateSeen,mostRecentAbsenteeOwner,mostRecentAbsenteeOwnerFirstDateSeen,mostRecentInvoluntaryJudgement,mostRecentInvoluntaryLien,mostRecentInvoluntaryLienJudgementFirstDateSeen,mlsNumber,neighborhoods,numBathroom,numBedroom,numFloor,numPeople,numRoom,numUnit,parking,paymentTypes,people,petPolicy,phones,postalCode,prices,propertyTaxes,propertyType,province,reviews,rules,subdivision,sourceURLs,statuses,taxID,transactions,yearBuilt
3a17d987-f7b0-4b69-adcc-6f81220bc6e1,"7628 Cassandra Common, New Natalie, IN 55918",https://mccarthy.info/,1286.18,professor,Peterson-Murillo,Port Christina,after,should,Belgium,here,prepare,listen,2025-06-15,2023-05-06,spend,Box miss above interview professional loss follow.,http://ramirez.biz/,288381,rest,type,1721.35,education,hold,https://www.anderson.biz/,ground,main,Catalan,81.615311,compare,Partner focus age reduce kitchen.,much,"Robinson, Ruiz and Donovan",162.147041,4008.25,hard,reflect,1153743,1618886,925519,2023-05-22,2024-01-07,mean,listen,martinashley@example.org,719.461.9521,2023-07-03,1716710,1414231,478138,442717,2023-06-10,2023-01-24,195745,1879645,577791,998822,394317,2024-02-13,2024-10-07,113586,1756944,1794688,500077,2024-04-02,2022-11-30,Active,2023-11-08,2024-04-28,ability,2023-08-18,tree,2024-07-02,population,yard,2023-08-15,little,quickly,free,difficult,class,where,group,night,upon,rather,myself,game,3386077337,59616,745989,8334.36,which,perhaps,lead,he,see,http://www.ryan.com/,Sold,ca950513-ab87-49bb-848a-23da26acd626,range,after
c9f26f8b-710b-44b3-99cd-2124515505f4,"75484 Brian Summit, Nathanmouth, GU 60855",http://roberts.com/,173.17,section,"Weber, Carroll and Doyle",Susanport,thousand,hair,Poland,some,own,either,2023-03-04,2024-08-15,police,Recent like usually.,https://howe-castaneda.biz/,1694344,final,miss,987.43,whether,let,https://odonnell.com/,expect,serve,Slovenian,3.920095,leg,Modern group product former dream technology.,story,Carey Inc,88.947994,4274.94,nor,home,1365908,158007,1594681,2023-01-18,2024-06-06,similar,watch,landerson@example.org,+1-435-228-2567x949,2023-01-21,1513272,458858,1792038,1680549,2022-09-02,2024-01-11,1478535,458001,1348918,551880,742191,2024-04-08,2024-03-24,69767,1844373,617543,1524467,2023-07-03,2023-07-30,Off Market,2025-05-03,2023-01-27,sort,2023-12-13,policy,2023-12-04,else,goal,2024-11-11,I,least,how,sit,president,hit,lose,staff,prepare,factor,keep,while,+1-721-982-3065x9537,59537,1463662,7787.68,forward,eat,entire,window,send,http://austin-villanueva.com/,Active,b4980fb4-920a-4527-bcb9-37b11f7c7395,something,office
02c65809-b698-4e25-8251-d04c7a1ff44d,"28180 Barr Harbor, Port Ashleechester, NY 93152",https://pierce.com/,764.24,its,Brown PLC,North Cody,network,despite,Uruguay,grow,others,environment,2024-12-15,2024-03-10,agreement,Job read put far plan so author.,https://moore.biz/,1547227,memory,rule,4777.94,somebody,dog,http://davis.org/,let,four,Hebrew,32.064573,senior,Half money first scene difficult successful.,color,Martin-Walters,-45.275648,1649.51,natural,only,1002934,1001385,195352,2022-07-28,2022-08-14,again,can,thomashardin@example.com,+1-737-844-9040x244,2025-06-02,266155,1419932,642843,798498,2022-12-05,2024-06-06,1084127,1064543,51588,856444,774311,2025-04-18,2024-09-30,1188556,1858077,1750117,1026491,2025-06-15,2023-05-11,Active,2024-05-04,2024-12-27,identify,2023-02-08,move,2024-02-28,recognize,available,2024-12-29,according,establish,respond,also,movement,head,because,wide,send,draw,manager,western,(693)995-2189,96375,709685,1717.1,rock,eat,nature,issue,turn,https://www.davis-adams.biz/,Sold,84816deb-fc55-4ea3-a1d8-53d5d7f628bd,whom,again
132276e8-ad60-4b53-a024-ed71cc705984,"84323 Thompson Meadows, Lake Susanville, NE 58070",https://www.jackson.net/,4244.43,director,Martinez Inc,Taylorchester,inside,state,Albania,include,situation,price,2025-02-25,2022-12-18,age,Glass tell style strategy well.,http://www.miller-williams.net/,1308906,here,mean,1494.02,why,four,https://rodriguez.org/,international,arrive,Tagalog,59.151567,politics,Each treat third speak operation national.,both,Gilmore-Franklin,-10.562629,1745.56,past,board,897677,1112777,984556,2023-11-11,2025-06-26,rate,other,proth@example.net,(794)764-5727x240,2024-01-15,1699890,1225936,185911,1234514,2022-12-23,2022-11-05,1672758,1872837,637216,326294,1580167,2024-11-10,2025-07-07,1918548,1899772,756289,1839770,2025-06-09,2022-07-30,Pending,2023-01-06,2022-10-18,ball,2025-03-12,trial,2023-08-29,same,alone,2024-03-08,these,behind,wear,gas,program,would,anything,drug,defense,financial,run,together,(933)922-8553x9759,55080,1783830,3603.02,east,system,Mr,reveal,future,https://silva-ayala.com/,Sold,75fcdbf5-43d5-473e-aebe-66790fa44ecb,tonight,popular
d74e8313-431c-443d-978d-6a35a9c91ba9,"586 Melanie Trafficway, Port Cameron, ND 00526",http://haynes-anderson.com/,205.39,own,Brock-Hall,West Brianfurt,reveal,whole,Poland,recently,claim,last,2023-08-10,2024-06-14,feeling,Next worry add loss.,https://lindsey.com/,526445,begin,course,4560.83,wear,must,https://www.jones-trujillo.org/,million,college,French,-54.128017,cut,Especially step sure to worker their well.,lead,Martin Inc,151.045412,2537.56,early,vote,1382923,1223873,1208154,2025-03-27,2025-01-23,maintain,hear,bettycox@example.com,+1-870-715-3087x3900,2023-08-16,1094591,767217,195977,1695972,2022-12-10,2024-08-16,247985,957736,951506,1200150,1476499,2025-07-20,2022-08-29,1778745,399305,1977659,1778775,2024-06-06,2024-06-05,Sold,2024-11-05,2023-03-19,level,2023-12-07,American,2023-01-13,get,their,2025-03-23,her,almost,no,protect,owner,sometimes,cup,radio,heavy,probably,meet,fact,+1-760-951-8110x23910,50484,1830423,1425.19,brother,high,beyond,doctor,upon,http://www.harris.net/,Off Market,d1ab7cae-8a6b-4bbc-a5ca-dd7f9dcff874,agency,its
368f4847-54b5-4fbe-8110-1606e1f89eab,"74935 Murray Mountains Apt. 524, Lake Sherri, WI 92027",https://quinn.com/,4671.67,get,Gilbert Ltd,West Brianna,grow,simple,Bulgaria,field,than,after,2025-07-01,2023-01-22,whatever,Thus bed change wait perhaps catch.,https://www.king.com/,1328148,kind,study,2631.66,student,green,http://mann.info/,receive,bill,Maltese,58.574411,drug,Professional teacher necessary perhaps now.,station,Howell Ltd,7.231753,352.03,media,individual,689924,838762,618339,2024-12-24,2023-02-02,speak,body,melissasmith@example.net,427.827.6602,2023-06-26,1409106,360474,361472,531498,2023-06-02,2024-07-06,811575,300861,1090596,302071,1132365,2022-08-19,2024-11-28,127713,1530566,1124214,1022610,2022-12-15,2024-12-20,Pending,2024-04-10,2024-05-10,blood,2024-06-07,clear,2023-05-02,always,rise,2025-06-23,task,majority,present,station,here,behind,soldier,art,paper,indicate,performance,day,946.735.9317,47275,818760,9705.48,environmental,speech,leg,mention,hospital,http://singh.com/,Sold,91d9f316-8e73-4c89-82ef-f804eecda3a4,respond,enter
f49607fe-d7c4-4db1-aeeb-3d2370879eab,"6593 Todd Hollow, West Richardborough, AK 91464",http://hill-olson.info/,2786.14,least,Scott and Sons,East Andrewland,teach,either,United States of America,other,free,all,2022-09-08,2024-11-20,life,Family notice happy seek worker.,https://barker-webb.com/,1812756,upon,outside,3829.36,evening,ten,http://www.miller-palmer.com/,floor,each,Finnish,-32.838364,game,Administration hair last Republican.,moment,Sanders-Serrano,-20.430249,3168.68,dog,nearly,705859,1860809,1298758,2025-05-02,2024-11-07,protect,cut,zachary53@example.net,+1-923-268-3069,2023-09-21,169619,770265,414739,1220158,2024-03-16,2025-01-05,1840398,1444508,378560,945907,1424999,2024-03-28,2023-10-10,870100,785492,1826574,1666883,2024-02-24,2024-04-11,Off Market,2023-05-10,2023-11-22,business,2024-09-25,computer,2022-12-29,work,rate,2023-01-28,these,present,bit,trip,operation,town,weight,talk,former,difference,official,six,(650)403-4694,36393,1439310,4633.53,person,move,democratic,where,truth,http://www.ayala.com/,Pending,13649fce-85f9-4392-a0fa-a3fefce7dbda,of,season
cb32031b-32c5-4704-bb34-546bab10b06a,"060 Palmer Way, Lake Tammy, IA 28657",http://jones.com/,1478.53,series,Owen-Velez,South Mary,source,begin,Cote d'Ivoire,evidence,hand,so,2023-08-03,2024-11-03,moment,Big animal who moment compare science try.,https://www.griffin.com/,1235967,simple,claim,1030.0,rule,capital,https://bray-wallace.info/,pick,prevent,Sindhi,-0.683062,boy,Yard good argue we grow shoulder.,on,Herrera Inc,-177.170354,1604.74,man,against,1954703,1471254,1084970,2023-07-05,2024-03-07,arrive,chair,alicia98@example.com,+1-734-660-4645,2025-03-15,105073,1568457,430439,1741124,2023-01-28,2024-04-03,681454,1508741,1666938,1872610,153911,2022-11-15,2023-09-15,1826630,1612879,924144,1604538,2023-06-02,2023-10-24,Active,2024-12-27,2023-02-05,gun,2024-09-02,finish,2024-06-13,heart,painting,2024-04-26,read,eat,manage,professor,thus,look,marriage,walk,program,thus,start,thank,001-807-863-7260x8773,13011,1510571,6880.52,whom,fire,myself,task,between,https://www.wilson-hawkins.org/,Pending,0f47e8b5-a5c0-40c5-a87f-736399b31587,without,thought
2a429d98-814b-42fb-9f09-9c2d50e0b351,"82062 Campbell Crest, Cherylmouth, IA 47904",http://black-burgess.com/,3740.15,finish,George-Grant,Youngport,believe,day,Burkina Faso,language,price,choice,2023-04-21,2024-12-01,program,Marriage just whom many around well or blood.,https://www.orozco.org/,1003972,kitchen,music,4540.47,research,concern,https://mayo-hill.com/,two,agency,Samoan,41.207342,watch,And health live off small.,history,Lopez-Mcclure,-129.424562,2633.33,whatever,southern,1467955,1825175,1557488,2025-01-10,2023-03-11,idea,glass,evansdanielle@example.org,583.603.3830,2025-03-08,1012036,471085,884968,1835536,2025-01-17,2023-02-23,1907481,1648471,1195677,1390162,1088734,2023-06-27,2024-10-18,1525487,898269,346869,1072847,2024-03-20,2022-12-11,Off Market,2023-07-16,2023-07-02,majority,2024-04-20,care,2023-08-27,nation,magazine,2022-08-01,cold,score,save,deal,night,interest,bank,country,then,research,yeah,base,532.423.2892,89762,79946,5569.9,edge,help,large,check,trade,https://estrada-johnson.com/,Active,657adba8-04fa-4c1e-bc48-3d8a9f1a2f71,without,again
82844501-bfaf-45a9-bb18-8737c4b1e969,"1073 Compton Pike Apt. 070, Port Gabrielstad, CT 38136",http://price.com/,4776.08,down,Williams PLC,North Bradleyshire,probably,water,Kuwait,live,short,before,2025-02-07,2024-02-23,hotel,Indicate see public.,https://www.richardson.org/,1584391,house,media,4013.0,picture,lose,http://mcdaniel.com/,travel,indeed,Western Frisian,-88.469344,boy,Agreement word national imagine special official news.,unit,Davis Inc,113.399247,4800.82,treatment,national,1168071,1110080,1285162,2022-12-01,2022-09-11,language,force,sue73@example.com,640.817.8628x891,2022-11-01,1357011,957687,748993,694418,2024-12-09,2024-08-01,1914160,72074,490296,1673218,1190629,2024-04-13,2023-08-11,1390409,1543108,557005,1803535,2023-05-25,2024-09-15,Active,2024-09-18,2023-09-28,suffer,2025-06-22,marriage,2023-12-04,indeed,young,2025-06-27,option,next,war,she,want,point,card,finish,build,particular,piece,the,918-243-3836,17968,1090790,7941.33,beat,write,along,national,despite,http://www.woods.com/,Off Market,dca2bd03-b0b6-4c23-847c-ce083ba0dd5a,win,over
