id,address,apiURLs,assessedValues,brokers,buildingName,city,companies,congressionalDistrictHouse,country,county,countyFIPS,currentOwnerType,dateAdded,dateUpdated,deposits,descriptions,domains,estimatedPrices,features,fees,floorSizeValue,floorSizeUnit,geoLocation,imageURLs,instrumentNumber,keys,languagesSpoken,latitude,leasingTerms,legalDescription,legalRange,listingName,longitude,lotSizeValue,lotSizeUnit,managedBy,mostRecentPriceAmount,mostRecentPriceDomain,mostRecentPriceSourceURL,mostRecentPriceDate,mostRecentPriceFirstDateSeen,mostRecentBrokerAgent,mostRecentBrokerCompany,mostRecentBrokerEmails,mostRecentBrokerPhones,mostRecentBrokerDateSeen,mostRecentPriceAmount.1,mostRecentPriceDomain.1,mostRecentPricePerSquareFoot,mostRecentPriceSourceURL.1,mostRecentPriceDate.1,mostRecentPriceFirstDateSeen.1,mostRecentRentalPriceAmount,mostRecentRentalPricePeriod,mostRecentRentalPriceDomain,mostRecentRentalPricePerSquareFoot,mostRecentRentalPriceSourceURL,mostRecentRentalPriceDate,mostRecentRentalPriceFirstDateSeen,mostRecentEstimatedPriceAmount,mostRecentEstimatedPriceDomain,mostRecentEstimatedPricePerSquareFoot,mostRecentEstimatedPriceSourceURL,mostRecentEstimatedPriceDate,mostRecentEstimatedPriceFirstDateSeen,mostRecentStatus,mostRecentStatusDate,mostRecentStatusFirstDateSeen,mostRecentVacancy,mostRecentVacancyFirstDateSeen,mostRecentAbsenteeOwner,mostRecentAbsenteeOwnerFirstDateSeen,mostRecentInvoluntaryJudgement,mostRecentInvoluntaryLien,mostRecentInvoluntaryLienJudgementFirstDateSeen,mlsNumber,neighborhoods,numBathroom,numBedroom,numFloor,numPeople,numRoom,numUnit,parking,paymentTypes,people,petPolicy,phones,postalCode,prices,propertyTaxes,propertyType,province,reviews,rules,subdivision,sourceURLs,statuses,taxID,transactions,yearBuilt
aabf3945-2054-46c3-9,73374 Butler Drives Apt. 329,,,,,Chadstad,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Condo,DE,,,,https://mora.com/,,,,1938
15414bf9-7ec1-43fd-b,263 Robert Centers Suite 123,,,,,Vegamouth,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment,TN,,,,https://www.sloan-mitchell.com/,,,,1956
5673a812-8501-471f-b,697 Tim Loaf,,,,,East Mary,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building,CT,,,,https://gonzalez-bryant.net/,,,,1945
89ac58b6-376e-4eba-a,8566 Robyn Curve Suite 067,,,,,Lake Michaeltown,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building,WA,,,,https://johnson-bright.com/,,,,1974
d8ae2e55-bc25-46a0-a,3175 Denise Inlet Apt. 039,,,,,Rebeccamouth,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building,MA,,,,http://www.burns.com/,,,,1933
d858d85f-f7af-4172-9,1970 David View Suite 098,,,,,East Tylerstad,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,House,MT,,,,http://torres-richardson.biz/,,,,1927
40df9c79-506f-45ed-8,69344 Brandon Hills,,,,,Williamsonton,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment,FL,,,,http://www.vega-crawford.biz/,,,,1959
8c691ce3-26c5-436c-8,490 West Fields,,,,,New Jeffery,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Condo,ID,,,,https://robles.info/,,,,1974
8f0913e9-4bcd-4104-9,809 Wall Plain,,,,,South Gary,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building,ID,,,,http://king-serrano.org/,,,,1928
bc11c22c-0efe-413a-9,020 Samuel Gateway,,,,,Brownburgh,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Condo,NM,,,,https://www.herring-scott.com/,,,,2000
fbccb9df-62f4-4a47-8,482 Angela Road Apt. 150,,,,,South Johnnyhaven,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building,UT,,,,https://henderson-murphy.biz/,,,,2002
b15c209f-6c37-476b-9,8516 Le Wells,,,,,Port Amy,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,House,CT,,,,https://www.wright.net/,,,,1939
4afaf09e-fae4-4fb6-8,7722 Melissa Drive Suite 448,,,,,South Adrianfort,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment,SD,,,,http://www.rose-mays.net/,,,,1999
7eeb5d7b-d274-465a-a,30633 Kane Burg,,,,,Barnesview,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building,NE,,,,http://www.olson.com/,,,,1908
b3db74c5-a18a-4e0d-a,789 Hatfield View,,,,,Port John,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment,FL,,,,http://www.hodge.com/,,,,1971
1031d596-54ce-42a1-8,301 Shaw Trail Suite 461,,,,,Mayville,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment,OR,,,,http://wade-sanders.com/,,,,1918
97c64b95-f515-4156-8,84031 Brady Coves Apt. 410,,,,,New Daniel,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building,OK,,,,https://www.johnson.com/,,,,1962
f8281eb6-340f-4c88-9,50470 Benjamin Estate Apt. 473,,,,,Bergerview,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building,CO,,,,https://www.stephens.info/,,,,2004
4baf17c1-3ea2-4e02-b,652 Klein Cliff Apt. 112,,,,,Vincentborough,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment,WV,,,,http://www.calhoun.com/,,,,2012
e1038719-0dcc-49ed-8,3198 Jacob Vista,,,,,West Josephview,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,House,ID,,,,https://www.lang.com/,,,,1982
0d7b25ae-c349-4dd8-b,374 Lee Walks Apt. 416,,,,,Davilaton,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment,GA,,,,http://hernandez.biz/,,,,1983
9ad0936a-7584-45c0-a,3759 Pittman Mission Suite 495,,,,,Arroyoberg,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building,MA,,,,https://www.pugh-perry.biz/,,,,1952
cc7e356d-a654-4fb2-a,31085 Audrey Divide Suite 612,,,,,Evanberg,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment,MI,,,,http://www.shaw.org/,,,,1922
70854781-8ff2-4230-8,5415 Martinez Stravenue,,,,,Gracetown,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,House,TX,,,,http://www.olson-torres.net/,,,,1995
