id,address,apiURLs,assessedValues,brokers,buildingName,city,companies,congressionalDistrictHouse,country,county,countyFIPS,currentOwnerType,dateAdded,dateUpdated,deposits,descriptions,domains,estimatedPrices,features,fees,floorSizeValue,floorSizeUnit,geoLocation,imageURLs,instrumentNumber,keys,languagesSpoken,latitude,leasingTerms,legalDescription,legalRange,listingName,longitude,lotSizeValue,lotSizeUnit,managedBy,mostRecentPriceAmount,mostRecentPriceDomain,mostRecentPriceSourceURL,mostRecentPriceDate,mostRecentPriceFirstDateSeen,mostRecentBrokerAgent,mostRecentBrokerCompany,mostRecentBrokerEmails,mostRecentBrokerPhones,mostRecentBrokerDateSeen,mostRecentPriceAmount.1,mostRecentPriceDomain.1,mostRecentPricePerSquareFoot,mostRecentPriceSourceURL.1,mostRecentPriceDate.1,mostRecentPriceFirstDateSeen.1,mostRecentRentalPriceAmount,mostRecentRentalPricePeriod,mostRecentRentalPriceDomain,mostRecentRentalPricePerSquareFoot,mostRecentRentalPriceSourceURL,mostRecentRentalPriceDate,mostRecentRentalPriceFirstDateSeen,mostRecentEstimatedPriceAmount,mostRecentEstimatedPriceDomain,mostRecentEstimatedPricePerSquareFoot,mostRecentEstimatedPriceSourceURL,mostRecentEstimatedPriceDate,mostRecentEstimatedPriceFirstDateSeen,mostRecentStatus,mostRecentStatusDate,mostRecentStatusFirstDateSeen,mostRecentVacancy,mostRecentVacancyFirstDateSeen,mostRecentAbsenteeOwner,mostRecentAbsenteeOwnerFirstDateSeen,mostRecentInvoluntaryJudgement,mostRecentInvoluntaryLien,mostRecentInvoluntaryLienJudgementFirstDateSeen,mlsNumber,neighborhoods,numBathroom,numBedroom,numFloor,numPeople,numRoom,numUnit,parking,paymentTypes,people,petPolicy,phones,postalCode,prices,propertyTaxes,propertyType,province,reviews,rules,subdivision,sourceURLs,statuses,taxID,transactions,yearBuilt
e3e70682-c209-4cac-a29f-6fbed82c07cd,"764 Howard Forge Apt. 421, Vanessaside, PA 19763",,,,,Coreyland,,,SE,,,,,,,,,,,,237,sqm,,,,,,36.739845,,,,,120.547683,5069,sqm,,299874,,,,,,,,,,,,,,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,,10,,,,,,,43780,,,Condo,Utah,,,,http://stewart-bowman.com/,"[{""date"":""2007-08-08T01:12:34"",""dateSeen"":""2002-06-18T03:24:51"",""status"":""Active""}]",,,1962
42af9fc3-8577-4e9a-9d84-f39e71545a13,"60975 Jessica Squares, East Sallybury, FL 71671",,,,,Davismouth,,,SE,,,,,,,,,,,,158,sqm,,,,,,-60.725007,,,,,-18.161987,8825,sqm,,419713,,,,,,,,,,,,,,,,2965,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,3,,,,,,,64632,,,House,North Carolina,,,,https://www.cook.org/,"[{""date"":""2007-03-29T11:28:19"",""dateSeen"":""2009-12-27T07:14:03"",""status"":""Active""}]",,,1979
98a6416d-1775-436d-b1ea-cd0549a3e80e,"342 Lori Bypass Suite 711, East Sandra, CO 92162",,,,,Masseyhaven,,,SE,,,,,,,,,,,,199,sqm,,,,,,-26.782986,,,,,-64.464688,7835,sqm,,343503,,,,,,,,,,,,,,,,912,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,,3,,,,,,,68893,,,House,Louisiana,,,,https://vasquez-davidson.com/,"[{""date"":""1975-08-10T09:24:08"",""dateSeen"":""1992-01-27T03:18:18"",""status"":""Active""}]",,,2015
964a870c-7c87-4b74-9d87-8f9f9cdf5a86,"04135 Marvin Via, North Kristabury, OK 83627",,,,,North Davidborough,,,SE,,,,,,,,,,,,274,sqm,,,,,,-57.869491,,,,,30.028954,7353,sqm,,323339,,,,,,,,,,,,,,,,1566,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,,5,,,,,,,75992,,,Apartment,Rhode Island,,,,http://johnson.com/,"[{""date"":""1982-08-03T12:03:33"",""dateSeen"":""2018-11-13T19:17:17"",""status"":""Active""}]",,,1970
ba26d851-35e8-479a-baaf-0e891fb797fa,"691 Jones Cliffs, Michaelburgh, NY 61728",,,,,New Craigfurt,,,SE,,,,,,,,,,,,30,sqm,,,,,,6.248956,,,,,72.445376,8186,sqm,,484143,,,,,,,,,,,,,,,,1864,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,8,,,,,,,34597,,,Cabin,Illinois,,,,http://www.kramer.com/,"[{""date"":""1993-04-18T05:23:04"",""dateSeen"":""2006-01-12T03:40:37"",""status"":""Active""}]",,,1990
ebe21368-98c7-4205-9e01-a934402d0baf,"76984 Price Shoals, Erictown, WA 10865",,,,,Joanneside,,,SE,,,,,,,,,,,,102,sqm,,,,,,-25.540486,,,,,78.678947,8996,sqm,,284865,,,,,,,,,,,,,,,,873,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,5,,,,,,,18174,,,House,Louisiana,,,,https://howard.org/,"[{""date"":""1979-01-03T10:26:18"",""dateSeen"":""2018-09-12T19:34:15"",""status"":""Active""}]",,,1930
6a174c1c-bf9c-4545-a355-18f74f6fa985,"93523 Dana Lane, Johnsonshire, WI 87296",,,,,East Seanview,,,SE,,,,,,,,,,,,179,sqm,,,,,,29.820115,,,,,103.238665,2144,sqm,,337016,,,,,,,,,,,,,,,,1862,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,,3,,,,,,,21169,,,Cabin,Vermont,,,,https://www.simpson.info/,"[{""date"":""1973-05-24T04:51:18"",""dateSeen"":""2025-01-20T22:39:04"",""status"":""Active""}]",,,1938
cffa6cdd-f963-47ef-a001-11e5d29dc5df,"206 Stewart Forest, Lake Karenhaven, CT 25464",,,,,New Debraport,,,SE,,,,,,,,,,,,153,sqm,,,,,,-41.085382,,,,,-126.215901,4856,sqm,,146400,,,,,,,,,,,,,,,,1275,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,,8,,,,,,,90749,,,House,Louisiana,,,,https://miller.com/,"[{""date"":""1987-06-16T01:30:48"",""dateSeen"":""1979-01-30T04:27:34"",""status"":""Active""}]",,,1940
a699bae0-d138-4150-8557-716aa7502a81,"40003 Grant Lakes, Port Karafort, SD 60619",,,,,Watsonside,,,SE,,,,,,,,,,,,65,sqm,,,,,,10.818698,,,,,135.210606,1571,sqm,,405846,,,,,,,,,,,,,,,,1033,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,,6,,,,,,,27743,,,House,Idaho,,,,https://www.hernandez.com/,"[{""date"":""2023-09-26T04:33:42"",""dateSeen"":""1994-12-27T20:12:38"",""status"":""Active""}]",,,1960
c787ddfb-5697-417c-97fd-3736b7ef941c,"2294 Foster Plaza, West Danny, IA 06826",,,,,Haydenhaven,,,SE,,,,,,,,,,,,230,sqm,,,,,,-8.752464,,,,,36.449787,8694,sqm,,194511,,,,,,,,,,,,,,,,2637,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,10,,,,,,,09789,,,House,Washington,,,,https://rodriguez-hoffman.info/,"[{""date"":""2002-04-04T10:47:16"",""dateSeen"":""1992-12-09T04:22:28"",""status"":""Active""}]",,,1987
cff4c56b-f9ea-4c64-8c41-7e7cd741d609,"76045 Samantha Road Suite 111, Lake Jeffrey, AL 13356",,,,,Hawkinsport,,,SE,,,,,,,,,,,,282,sqm,,,,,,67.004864,,,,,-63.362892,5955,sqm,,93187,,,,,,,,,,,,,,,,1828,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,,6,,,,,,,64545,,,House,New Hampshire,,,,https://www.robinson-duarte.org/,"[{""date"":""2022-11-18T22:18:01"",""dateSeen"":""1981-05-03T09:30:15"",""status"":""Active""}]",,,1957
