id,address,brokers,city,country,county,countyFIPS,dateAdded,dateUpdated,descriptions,domains,features,floorSizeValue,floorSizeUnit,geoLocation,imageURLs,keys,latitude,legalDescription,longitude,lotSizeValue,lotSizeUnit,mostRecentBrokerAgent,mostRecentBrokerCompany,mostRecentBrokerDateSeen,mostRecentPriceAmount.1,mostRecentPriceDomain.1,mostRecentPricePerSquareFoot,mostRecentPriceDate.1,mostRecentPriceFirstDateSeen.1,mostRecentStatus,mostRecentStatusDate,mostRecentStatusFirstDateSeen,mlsNumber,neighborhoods,numBathroom,numBedroom,numFloor,parking,people,postalCode,prices,propertyType,province,subdivision,sourceURLs,statuses,transactions,yearBuilt
young,meet,wall,born,need,tree,278.46,2020-11-20,2024-01-15,another,type,condition,3727.78,5074.32,investment,local,performance,18.63589,matter,17.842647,7949.28,4348.73,also,name,2022-11-18,484684.96,627611.85,519814.63,2023-05-15,2022-07-21,lead,2021-03-18,2022-03-18,6,enter,4,3,4,interesting,movie,hold,232335.88,knowledge,thus,share,senior,long,clear,1972
respond,somebody,maintain,bit,size,artist,714.85,2020-11-29,2021-09-22,result,arrive,public,5406.9,6502.37,want,total,play,-22.401066,leave,86.009495,563.9,3405.93,represent,imagine,2024-06-26,712972.71,941111.2,388849.01,2023-11-11,2025-03-17,later,2022-06-05,2024-07-30,6,business,10,10,8,go,full,sell,321352.63,everybody,another,professor,bank,try,establish,1943
country,product,month,young,great,drug,342.57,2022-06-04,2025-03-31,energy,high,note,6416.88,4255.61,compare,majority,number,1.628368,sometimes,134.719997,2270.1,1354.24,draw,board,2021-11-21,637428.79,869595.27,379526.7,2024-02-27,2023-10-06,maybe,2022-05-24,2025-02-27,5,herself,2,10,5,authority,finally,go,59048.45,tonight,at,mind,decision,enter,last,1958
administration,put,PM,new,shake,worry,343.68,2021-12-08,2023-11-25,contain,form,discuss,6750.65,1155.6,school,office,image,-56.252779,traditional,54.505143,1775.56,2339.78,force,employee,2023-03-23,303294.19,716172.9,295974.34,2021-10-06,2022-08-05,forget,2021-12-17,2021-10-10,8,budget,8,2,2,her,of,himself,892426.72,two,include,three,answer,high,sort,1966
perform,section,difficult,trouble,whole,national,161.79,2024-07-14,2021-05-25,method,prove,state,9536.56,1429.41,piece,us,alone,62.971732,everyone,179.634684,6476.92,3530.73,tree,either,2022-06-16,128545.15,621780.17,729888.07,2022-11-16,2022-02-08,pretty,2024-10-31,2021-06-22,10,hand,7,5,7,animal,wait,material,707120.04,line,arm,general,understand,second,woman,2001
nice,score,garden,impact,garden,sense,435.71,2021-02-10,2024-06-01,national,opportunity,game,3754.2,919.75,should,word,professional,-10.109239,build,22.992184,3135.72,9037.15,then,enjoy,2023-12-03,281976.28,612464.44,958765.37,2024-04-14,2022-04-29,perform,2023-10-09,2021-08-10,9,this,3,4,6,face,account,morning,619466.82,establish,ever,century,huge,issue,strong,1999
although,late,term,under,conference,very,6.76,2025-05-22,2024-05-21,somebody,center,throughout,1679.84,1889.32,we,professor,language,-73.450651,hospital,144.060137,4704.11,1612.25,front,kitchen,2024-01-20,771192.42,355552.94,44679.77,2025-03-02,2022-05-06,perform,2023-09-29,2023-08-31,1,laugh,4,8,4,woman,sit,history,356262.5,fill,trouble,someone,almost,free,mind,1994
color,cost,sign,brother,remain,rock,144.04,2022-10-29,2023-03-19,after,which,something,1071.09,4365.25,only,notice,gun,-44.598994,home,56.324257,5994.53,3756.05,beyond,might,2025-07-02,976585.44,351305.36,432458.06,2024-10-21,2022-11-28,city,2023-01-17,2021-07-20,6,draw,8,9,6,mind,add,yard,434226.83,understand,director,degree,debate,budget,rich,1950
game,total,quite,one,relate,upon,832.38,2021-04-08,2024-04-26,act,today,deep,9998.29,2908.35,they,seem,Congress,45.559943,cell,82.806372,8320.68,2291.48,cost,industry,2020-10-09,508716.87,274849.64,421794.08,2022-10-24,2023-12-06,form,2020-11-17,2022-06-14,2,civil,9,8,10,deal,make,beyond,321120.76,about,already,sell,crime,community,scientist,1960
enough,father,because,fly,candidate,chance,819.6,2023-07-17,2023-01-14,enjoy,culture,nothing,9873.62,7905.81,avoid,simple,yes,39.180238,democratic,-21.897171,6979.24,8765.25,bar,they,2024-02-17,84408.78,718761.9,268262.86,2021-04-03,2024-04-09,could,2022-07-14,2024-03-22,1,culture,9,6,8,same,set,bank,683942.56,always,may,national,arrive,meet,assume,2019
personal,challenge,popular,prove,community,however,525.53,2020-10-08,2024-12-11,energy,within,board,1883.78,1372.65,owner,ask,particular,-14.099973,lay,58.84364,9824.07,3200.37,media,traditional,2022-07-13,528557.91,117313.55,234399.1,2023-12-14,2021-05-16,he,2024-09-02,2025-04-27,4,well,8,2,3,edge,will,prove,859112.33,president,last,standard,student,either,accept,2012
base,certain,wonder,contain,suffer,new,798.91,2020-08-23,2021-07-23,throw,best,guess,4585.07,2359.07,raise,ability,total,87.225308,eye,83.012265,6690.34,9113.4,probably,street,2024-02-07,945646.76,667552.35,997965.35,2020-09-30,2023-11-15,face,2021-06-26,2020-12-08,9,very,10,6,6,response,can,fund,193883.84,age,allow,subject,authority,almost,food,1901
whole,likely,within,your,data,buy,551.68,2020-12-29,2021-09-11,American,then,force,7229.43,7798.8,less,record,much,59.662317,official,125.548092,8724.95,8525.2,bad,teach,2021-04-24,212996.11,960698.84,456783.48,2024-11-30,2021-04-04,network,2022-11-16,2024-09-21,6,necessary,3,3,5,image,interview,by,49776.52,street,buy,although,region,political,child,2006
series,mother,likely,politics,ten,miss,58.07,2022-08-24,2021-05-07,tell,cut,moment,4887.69,6680.37,will,name,body,-88.765353,black,-173.196099,2686.08,152.05,your,same,2024-11-29,538316.47,141544.87,701050.77,2022-06-07,2025-01-29,shoulder,2022-11-28,2025-05-01,3,market,10,2,3,table,until,but,951447.9,inside,understand,perhaps,total,leg,anyone,1904
him,mean,future,party,world,treat,995.93,2024-11-07,2021-02-06,tend,prove,still,7199.94,6253.0,shake,whatever,instead,40.701762,fine,-86.440028,5807.71,3850.18,voice,share,2023-11-19,192040.52,628946.22,846056.11,2021-08-08,2023-08-16,thank,2023-10-02,2022-09-08,10,particular,8,8,10,glass,if,yeah,954517.43,those,notice,particularly,successful,list,again,1909
two,safe,score,form,newspaper,service,490.01,2021-01-21,2025-07-12,simple,candidate,whatever,9274.43,8749.85,probably,Congress,these,-11.889851,forward,-149.292701,6494.4,6302.77,use,allow,2021-05-31,521794.7,364382.32,55745.18,2022-03-28,2023-03-28,field,2021-07-11,2023-10-09,2,soldier,5,3,7,hundred,this,sort,576656.91,fight,worker,impact,bill,firm,bag,1971
least,eat,central,plan,unit,very,133.76,2023-01-21,2022-05-03,feeling,check,study,931.23,7770.45,environmental,lawyer,sing,2.589065,candidate,-31.982068,3304.0,2045.52,director,year,2021-01-14,999355.47,792877.87,958700.97,2025-03-08,2023-10-27,late,2021-04-08,2022-11-14,3,television,5,1,7,play,economic,something,593073.42,dog,indeed,debate,fish,finish,stock,1908
