id,address,city,country,floorSizeValue,floorSizeUnit,latitude,longitude,lotSizeValue,lotSizeUnit,mostRecentPriceAmount,mostRecentRentalPriceAmount,numBathroom,numBedroom,numFloor,numRoom,postalCode,propertyType,province,sourceURLs,statuses,yearBuilt
m0zfn5EBFopjzThkX3OC,,Träthult,SE,,,57.1176647,15.7658488,,,,,0.0,1.0,,,,Cabin,Kalmar län,https://www.airbnb.com/rooms/892507738926412839,"[{""date"":""2024-08-29T09:28:44.954Z"",""dateSeen"":[""2025-03-14T11:11:00.000Z""],""firstDateSeen"":""2025-03-14T11:11:00.000Z"",""lastDateSeen"":""2025-03-14T11:11:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-08-29T09:28:44.954Z"",""dateSeen"":[""2024-11-30T13:25:00.000Z""],""firstDateSeen"":""2024-11-30T13:25:00.000Z"",""lastDateSeen"":""2024-11-30T13:25:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-08-29T09:28:44.954Z"",""dateSeen"":[""2024-12-07T07:23:00.000Z""],""firstDateSeen"":""2024-12-07T07:23:00.000Z"",""lastDateSeen"":""2024-12-07T07:23:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-08-29T09:28:44.954Z"",""dateSeen"":[""2025-07-23T07:55:00.000Z"",""2025-07-22T09:17:00.000Z""],""firstDateSeen"":""2025-07-22T09:17:00.000Z"",""lastDateSeen"":""2025-07-23T07:55:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-08-29T09:28:44.954Z"",""dateSeen"":[""2024-12-07T18:00:00.000Z""],""firstDateSeen"":""2024-12-07T18:00:00.000Z"",""lastDateSeen"":""2024-12-07T18:00:00.000Z"",""type"":""Short Term Rental""}]",
4Vkdio8BAgEU5ktw1N-U,,Nye,SE,,,57.335872599,15.2571597,,,,,1.0,1.0,,,,Cabin,Jönköpings län,https://www.airbnb.com/rooms/667378376650680373,"[{""date"":""2024-07-01T12:35:07.391Z"",""dateSeen"":[""2025-05-20T01:28:00.000Z"",""2025-04-11T15:59:00.000Z"",""2025-07-17T08:12:00.000Z"",""2025-04-10T19:56:00.000Z"",""2025-05-29T02:16:00.000Z"",""2025-03-22T04:34:00.000Z"",""2025-04-10T19:54:00.000Z"",""2025-05-15T10:28:00.000Z"",""2025-05-02T21:12:00.000Z"",""2025-06-30T11:39:00.000Z"",""2025-06-09T06:39:00.000Z"",""2025-04-17T14:45:00.000Z"",""2025-07-21T04:03:00.000Z"",""2025-07-19T02:53:00.000Z"",""2025-06-15T17:08:00.000Z"",""2025-05-15T10:20:00.000Z"",""2025-03-19T18:30:00.000Z"",""2025-04-05T18:57:00.000Z"",""2025-03-18T04:40:00.000Z"",""2025-04-27T16:59:00.000Z"",""2025-04-23T11:17:00.000Z"",""2025-04-27T00:09:00.000Z"",""2025-07-23T07:53:00.000Z"",""2025-04-26T15:11:00.000Z"",""2025-07-19T02:44:00.000Z"",""2025-04-15T16:10:00.000Z"",""2025-04-26T15:12:00.000Z"",""2025-03-29T04:55:00.000Z"",""2025-03-18T01:41:00.000Z"",""2025-06-30T12:16:00.000Z"",""2025-07-22T10:28:00.000Z"",""2025-04-10T12:41:00.000Z"",""2025-05-14T08:18:00.000Z"",""2025-04-26T21:47:00.000Z"",""2025-04-11T16:00:00.000Z"",""2025-03-28T02:00:00.000Z"",""2025-06-14T21:49:00.000Z"",""2025-04-26T21:52:00.000Z"",""2025-05-27T23:25:00.000Z"",""2025-03-18T13:55:00.000Z"",""2025-03-15T21:36:00.000Z"",""2025-03-14T11:00:00.000Z"",""2025-06-17T13:09:00.000Z"",""2025-05-15T10:08:00.000Z"",""2025-03-29T04:53:00.000Z"",""2025-05-19T06:01:00.000Z"",""2025-05-15T10:21:00.000Z"",""2025-06-09T06:33:00.000Z"",""2025-04-16T07:46:00.000Z""],""firstDateSeen"":""2025-03-14T11:00:00.000Z"",""lastDateSeen"":""2025-07-23T07:53:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:07.391Z"",""dateSeen"":[""2025-07-23T07:55:00.000Z""],""firstDateSeen"":""2025-03-14T11:00:00.000Z"",""lastDateSeen"":""2025-07-23T07:55:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:07.391Z"",""dateSeen"":[""2024-10-09T20:11:00.000Z"",""2024-10-09T22:01:00.000Z""],""firstDateSeen"":""2024-10-09T20:11:00.000Z"",""lastDateSeen"":""2024-10-09T22:01:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:07.391Z"",""dateSeen"":[""2025-03-15T06:59:00.000Z""],""firstDateSeen"":""2025-03-15T06:59:00.000Z"",""lastDateSeen"":""2025-03-15T06:59:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:07.391Z"",""dateSeen"":[""2025-03-06T04:22:00.000Z""],""firstDateSeen"":""2025-03-06T04:22:00.000Z"",""lastDateSeen"":""2025-03-06T04:22:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:07.391Z"",""dateSeen"":[""2024-08-17T23:25:00.000Z""],""firstDateSeen"":""2024-08-17T23:25:00.000Z"",""lastDateSeen"":""2024-08-17T23:25:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:07.391Z"",""dateSeen"":[""2024-09-29T21:15:00.000Z""],""firstDateSeen"":""2024-09-29T21:15:00.000Z"",""lastDateSeen"":""2024-09-29T21:15:00.000Z"",""type"":""Short Term Rental""}]",
zOZ4opAB5p3ULnC0ccfS,,Kosta,SE,,,56.84751,15.38158,,,,,0.5,2.0,,,,Cabin,Småland,https://www.airbnb.com/rooms/5704050,"[{""date"":""2024-07-11T15:45:19.175Z"",""dateSeen"":[""2025-07-22T09:17:00.000Z""],""firstDateSeen"":""2025-07-22T09:17:00.000Z"",""lastDateSeen"":""2025-07-22T09:17:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-11T15:45:19.175Z"",""dateSeen"":[""2025-04-10T19:54:00.000Z"",""2025-04-16T03:44:00.000Z""],""firstDateSeen"":""2025-04-10T19:54:00.000Z"",""lastDateSeen"":""2025-04-16T03:44:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-11T15:45:19.175Z"",""dateSeen"":[""2025-07-23T07:55:00.000Z""],""firstDateSeen"":""2025-07-22T09:17:00.000Z"",""lastDateSeen"":""2025-07-23T07:55:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-11T15:45:19.175Z"",""dateSeen"":[""2025-07-19T02:26:00.000Z"",""2025-07-17T19:42:00.000Z""],""firstDateSeen"":""2025-07-17T19:42:00.000Z"",""lastDateSeen"":""2025-07-19T02:26:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-11T15:45:19.175Z"",""dateSeen"":[""2025-07-17T13:54:00.000Z""],""firstDateSeen"":""2025-07-17T13:54:00.000Z"",""lastDateSeen"":""2025-07-17T13:54:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-11T15:45:19.175Z"",""dateSeen"":[""2024-11-29T23:28:00.000Z"",""2024-11-30T13:53:00.000Z""],""firstDateSeen"":""2024-11-29T23:28:00.000Z"",""lastDateSeen"":""2024-11-30T13:53:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-11T15:45:19.175Z"",""dateSeen"":[""2024-11-17T08:53:00.000Z"",""2024-11-17T14:18:00.000Z""],""firstDateSeen"":""2024-11-17T08:53:00.000Z"",""lastDateSeen"":""2024-11-17T14:18:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-11T15:45:19.175Z"",""dateSeen"":[""2024-09-30T04:36:00.000Z"",""2024-08-29T09:29:00.000Z""],""firstDateSeen"":""2024-08-29T09:29:00.000Z"",""lastDateSeen"":""2024-09-30T04:36:00.000Z"",""type"":""Short Term Rental""}]",
xKADK5gB2lpWZeFl8rPw,,Fagerhult,SE,,,57.147790699,15.7380363,,,,,1.5,3.0,,,,Cabin,Kalmar County,https://www.airbnb.com/rooms/681434909002781572,"[{""date"":""2025-07-21T03:25:35.333Z"",""dateSeen"":[""2025-07-23T07:55:00.000Z""],""firstDateSeen"":""2025-07-22T09:17:00.000Z"",""lastDateSeen"":""2025-07-23T07:55:00.000Z"",""type"":""Short Term Rental""},{""date"":""2025-07-21T03:25:35.333Z"",""dateSeen"":[""2025-07-23T07:53:00.000Z""],""firstDateSeen"":""2025-07-23T07:53:00.000Z"",""lastDateSeen"":""2025-07-23T07:53:00.000Z"",""type"":""Short Term Rental""}]",
bBcmapMBfQaVAE5Htwmv,,Kråksmåla,SE,,,57.01585,15.85629,,,,,1.0,2.0,,,,Cabin,Kalmar län,https://www.airbnb.com/rooms/1217149850397097532,"[{""date"":""2024-11-26T19:48:18.231Z"",""dateSeen"":[""2025-07-23T07:55:00.000Z"",""2025-07-22T10:28:00.000Z"",""2025-05-26T23:29:00.000Z"",""2025-07-19T02:26:00.000Z"",""2025-06-14T06:23:00.000Z"",""2024-12-27T04:06:00.000Z"",""2025-07-21T03:26:00.000Z"",""2025-05-26T23:30:00.000Z"",""2025-05-15T10:20:00.000Z""],""firstDateSeen"":""2024-12-27T04:06:00.000Z"",""lastDateSeen"":""2025-07-23T07:55:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-11-26T19:48:18.231Z"",""dateSeen"":[""2024-12-20T22:50:00.000Z""],""firstDateSeen"":""2024-12-20T22:50:00.000Z"",""lastDateSeen"":""2024-12-20T22:50:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-11-26T19:48:18.231Z"",""dateSeen"":[""2024-12-12T07:13:00.000Z""],""firstDateSeen"":""2024-12-12T07:13:00.000Z"",""lastDateSeen"":""2024-12-12T07:13:00.000Z"",""type"":""Short Term Rental""}]",
IG65F4wB5p3ULnC0igHt,14174 W Travis Ln,Malakoff,US,1190.0,sq ft,32.226177,-96.01791,0.03,acs,,,2.0,3.0,1.0,,75148,Manufactured Home,TX,"https://www.remax.com/tx/malakoff/home-details/14174-w-travis-ln-malakoff-tx-75148/852616148540053927/M00000621/24004787,https://www.redfin.com/TX/Log-Cabin/14174-W-Travis-Ln-75148/home/188204929,https://www.har.com/homedetail/14174-w-travis-ln-malakoff-tx-75148/16460940,https://www.movoto.com/malakoff-tx/14174-w-travis-ln-malakoff-tx-75148-406_23014655/,https://www.trulia.com/home/14174-w-travis-ln-malakoff-tx-75148-448088690,https://www.remax.com/tx/malakoff/home-details/14174-w-travis-ln-malakoff-tx-75148/852616148540053927/M00000621/23014655,https://www.remax.com/tx/malakoff/home-details/14174-w-travis-ln-malakoff-tx-75148/852616148540053927/M00000594/20468909,https://www.trulia.com/home/14174-w-travis-ln-malakoff-tx-75148-2054600588,https://www.zillow.com/homedetails/14174-W-Travis-Ln-Malakoff-TX-75148/2054600588_zpid/,https://www.zillow.com/homedetails/14174-W-Travis-Ln-Malakoff-TX-75148/448088690_zpid/,https://www.xome.com/homes-for-sale/14174-W-Travis-Ln-Malakoff-TX-75148-390754923,https://datafiniti.co/mls,https://datafiniti.co/,https://www.coldwellbanker.com/tx/malakoff/14174-west-travis-lane/lid-P00800000GOyzk6Jd6UEy1xfjoByzxe7xtmfewtM","[{""date"":""2024-04-08T00:00:00.000Z"",""dateSeen"":[""2024-04-12T23:55:00.000Z""],""firstDateSeen"":""2024-04-12T23:55:00.000Z"",""lastDateSeen"":""2024-04-12T23:55:00.000Z"",""type"":""Coming Soon""},{""date"":""2024-04-08T17:29:00.000Z"",""dateSeen"":[""2024-11-24T13:01:24.093Z""],""firstDateSeen"":""2024-11-24T13:01:24.093Z"",""lastDateSeen"":""2024-11-24T13:01:24.093Z"",""type"":""For Sale""},{""date"":""2023-10-30T00:00:00.000Z"",""dateSeen"":[""2024-02-12T21:58:00.000Z"",""2024-04-12T23:01:56.013Z"",""2024-04-09T00:50:33.211Z"",""2024-04-11T13:46:14.588Z"",""2024-04-12T07:42:22.237Z""],""firstDateSeen"":""2024-02-12T21:58:00.000Z"",""lastDateSeen"":""2024-04-12T23:01:56.013Z"",""type"":""For Sale""},{""date"":""2024-04-08T17:29:00.000Z"",""dateSeen"":[""2024-04-14T07:36:54.723Z""],""firstDateSeen"":""2024-04-14T07:36:54.723Z"",""lastDateSeen"":""2024-04-14T07:36:54.723Z"",""type"":""For Sale""},{""date"":""2024-04-08T17:29:00.000Z"",""dateSeen"":[""2025-01-01T13:33:39.943Z"",""2024-10-12T01:41:14.383Z""],""firstDateSeen"":""2024-10-12T01:41:14.383Z"",""lastDateSeen"":""2025-01-01T13:33:39.943Z"",""isUnderContract"":""false"",""type"":""For Sale""},{""date"":""2024-04-08T17:29:00.000Z"",""dateSeen"":[""2024-12-03T02:02:42.961Z""],""firstDateSeen"":""2024-12-03T02:02:42.961Z"",""lastDateSeen"":""2024-12-03T02:02:42.961Z"",""type"":""For Sale""},{""date"":""2025-03-26T00:00:00.000Z"",""dateSeen"":[""2025-03-27T18:49:47.576Z""],""firstDateSeen"":""2025-03-27T18:49:47.576Z"",""lastDateSeen"":""2025-03-27T18:49:47.576Z"",""isUnderContract"":""true"",""type"":""Pending""},{""date"":""2025-03-26T00:00:00.000Z"",""dateSeen"":[""2025-07-23T07:54:42.308Z""],""firstDateSeen"":""2025-03-27T18:49:47.576Z"",""lastDateSeen"":""2025-07-23T07:54:42.308Z"",""type"":""Pending""},{""date"":""2025-03-26T00:00:00.000Z"",""dateSeen"":[""2025-06-22T13:34:53.859Z""],""firstDateSeen"":""2025-06-22T13:34:53.859Z"",""lastDateSeen"":""2025-06-22T13:34:53.859Z"",""type"":""For Sale""},{""date"":""2024-11-07T00:00:00.000Z"",""dateSeen"":[""2025-05-17T11:47:48.008Z""],""firstDateSeen"":""2025-05-17T11:47:48.008Z"",""lastDateSeen"":""2025-05-17T11:47:48.008Z"",""type"":""Pending""},{""date"":""2024-04-08T17:29:00.000Z"",""dateSeen"":[""2024-11-16T07:40:51.104Z""],""firstDateSeen"":""2024-11-16T07:40:51.104Z"",""lastDateSeen"":""2024-11-16T07:40:51.104Z"",""type"":""For Sale""},{""date"":""2023-10-30T00:00:00.000Z"",""dateSeen"":[""2024-02-12T21:18:00.000Z""],""firstDateSeen"":""2024-02-12T21:18:00.000Z"",""lastDateSeen"":""2024-02-12T21:18:00.000Z"",""type"":""For Sale""},{""date"":""2025-03-19T12:12:29.898Z"",""dateSeen"":[""2025-03-19T12:12:29.898Z""],""firstDateSeen"":""2025-03-19T12:12:29.898Z"",""lastDateSeen"":""2025-03-19T12:12:29.898Z"",""isUnderContract"":""false"",""type"":""Off Market""},{""date"":""2024-04-08T17:29:00.000Z"",""dateSeen"":[""2024-06-18T11:16:42.289Z""],""firstDateSeen"":""2024-06-18T11:16:42.289Z"",""lastDateSeen"":""2024-06-18T11:16:42.289Z"",""isUnderContract"":""false"",""type"":""For Sale""},{""date"":""2025-03-26T00:00:00.000Z"",""dateSeen"":[""2025-07-08T17:42:20.561Z""],""firstDateSeen"":""2025-07-08T17:42:20.561Z"",""lastDateSeen"":""2025-07-08T17:42:20.561Z"",""type"":""For Sale""},{""date"":""2024-11-07T00:00:00.000Z"",""dateSeen"":[""2025-05-19T02:27:12.443Z""],""firstDateSeen"":""2025-05-19T02:27:12.443Z"",""lastDateSeen"":""2025-05-19T02:27:12.443Z"",""type"":""Pending""},{""date"":""2025-03-26T00:00:00.000Z"",""dateSeen"":[""2025-07-16T14:22:09.212Z""],""firstDateSeen"":""2025-03-27T18:49:47.576Z"",""lastDateSeen"":""2025-07-16T14:22:09.212Z"",""type"":""Pending""},{""date"":""2024-04-08T17:29:00.000Z"",""dateSeen"":[""2024-12-27T13:23:35.381Z""],""firstDateSeen"":""2024-12-27T13:23:35.381Z"",""lastDateSeen"":""2024-12-27T13:23:35.381Z"",""type"":""For Sale""},{""date"":""2025-03-26T00:00:00.000Z"",""dateSeen"":[""2025-05-18T13:34:10.556Z""],""firstDateSeen"":""2025-05-18T13:34:10.556Z"",""lastDateSeen"":""2025-05-18T13:34:10.556Z"",""type"":""Pending""}]",2023.0
AVrtk48BAgEU5ktwl2rb,,Stenberga,SE,,,57.32211,15.42019,,,,,4.0,7.0,,,,Villa,Jönköpings län,https://www.airbnb.com/rooms/1099121117368953328,"[{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-07-22T17:11:00.000Z"",""2025-07-22T10:28:00.000Z"",""2025-07-21T03:06:00.000Z"",""2025-07-21T04:04:00.000Z"",""2025-07-19T02:45:00.000Z"",""2025-06-30T11:39:00.000Z""],""firstDateSeen"":""2025-06-30T11:39:00.000Z"",""lastDateSeen"":""2025-07-22T17:11:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-07-17T05:05:00.000Z""],""firstDateSeen"":""2025-07-17T05:05:00.000Z"",""lastDateSeen"":""2025-07-17T05:05:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-04-19T02:28:00.000Z""],""firstDateSeen"":""2025-04-19T02:28:00.000Z"",""lastDateSeen"":""2025-04-19T02:28:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-06-09T06:36:00.000Z"",""2025-06-09T05:59:00.000Z""],""firstDateSeen"":""2025-06-09T05:59:00.000Z"",""lastDateSeen"":""2025-06-09T06:36:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2024-08-07T14:13:00.000Z""],""firstDateSeen"":""2024-08-07T14:13:00.000Z"",""lastDateSeen"":""2024-08-07T14:13:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-03-01T08:48:00.000Z""],""firstDateSeen"":""2025-03-01T08:48:00.000Z"",""lastDateSeen"":""2025-03-01T08:48:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2024-12-31T07:39:00.000Z""],""firstDateSeen"":""2024-12-31T07:39:00.000Z"",""lastDateSeen"":""2024-12-31T07:39:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-03-02T18:56:00.000Z""],""firstDateSeen"":""2025-03-02T18:56:00.000Z"",""lastDateSeen"":""2025-03-02T18:56:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-04-05T18:57:00.000Z"",""2025-04-05T19:17:00.000Z""],""firstDateSeen"":""2025-04-05T18:57:00.000Z"",""lastDateSeen"":""2025-04-05T19:17:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-03-20T12:26:00.000Z"",""2025-03-20T23:47:00.000Z""],""firstDateSeen"":""2025-03-20T12:26:00.000Z"",""lastDateSeen"":""2025-03-20T23:47:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-03-19T19:11:00.000Z""],""firstDateSeen"":""2025-03-19T19:11:00.000Z"",""lastDateSeen"":""2025-03-19T19:11:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-02-21T23:40:00.000Z"",""2025-02-22T14:04:00.000Z""],""firstDateSeen"":""2025-02-21T23:40:00.000Z"",""lastDateSeen"":""2025-02-22T14:04:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2024-11-09T01:11:00.000Z"",""2024-12-02T11:34:00.000Z""],""firstDateSeen"":""2024-11-09T01:11:00.000Z"",""lastDateSeen"":""2024-12-02T11:34:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2024-12-28T09:26:00.000Z"",""2024-12-29T07:32:00.000Z""],""firstDateSeen"":""2024-12-28T09:26:00.000Z"",""lastDateSeen"":""2024-12-29T07:32:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-04-15T16:13:00.000Z"",""2025-04-15T10:59:00.000Z""],""firstDateSeen"":""2025-04-15T10:59:00.000Z"",""lastDateSeen"":""2025-04-15T16:13:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-06-09T06:59:00.000Z"",""2025-06-09T11:24:00.000Z""],""firstDateSeen"":""2025-06-09T06:59:00.000Z"",""lastDateSeen"":""2025-06-09T11:24:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-04-17T14:46:00.000Z""],""firstDateSeen"":""2025-04-17T14:46:00.000Z"",""lastDateSeen"":""2025-04-17T14:46:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-07-23T07:55:00.000Z""],""firstDateSeen"":""2025-06-30T11:39:00.000Z"",""lastDateSeen"":""2025-07-23T07:55:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2024-10-02T07:04:00.000Z""],""firstDateSeen"":""2024-10-02T07:04:00.000Z"",""lastDateSeen"":""2024-10-02T07:04:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-04-10T19:57:00.000Z"",""2025-04-10T19:55:00.000Z""],""firstDateSeen"":""2025-04-10T19:55:00.000Z"",""lastDateSeen"":""2025-04-10T19:57:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-04-16T07:48:00.000Z""],""firstDateSeen"":""2025-04-16T07:48:00.000Z"",""lastDateSeen"":""2025-04-16T07:48:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-02-22T20:04:00.000Z"",""2025-02-22T14:07:00.000Z""],""firstDateSeen"":""2025-02-22T14:07:00.000Z"",""lastDateSeen"":""2025-02-22T20:04:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2024-08-17T13:46:00.000Z""],""firstDateSeen"":""2024-08-17T13:46:00.000Z"",""lastDateSeen"":""2024-08-17T13:46:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2025-03-18T01:42:00.000Z"",""2025-03-18T04:41:00.000Z""],""firstDateSeen"":""2025-03-18T01:42:00.000Z"",""lastDateSeen"":""2025-03-18T04:41:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-01T12:35:54.926Z"",""dateSeen"":[""2024-08-13T08:56:00.000Z""],""firstDateSeen"":""2024-08-13T08:56:00.000Z"",""lastDateSeen"":""2024-08-13T08:56:00.000Z"",""type"":""Short Term Rental""}]",
W6DxKpgB2lpWZeFltK_Y,,Mörlunda,SE,,,57.319217935,15.874836075,,,,,1.0,3.0,,,,Villa,Kalmar län,https://www.airbnb.com/rooms/1446172496697624495,"[{""date"":""2025-07-21T03:05:39.902Z"",""dateSeen"":[""2025-07-21T03:06:00.000Z""],""firstDateSeen"":""2025-07-21T03:06:00.000Z"",""lastDateSeen"":""2025-07-21T03:06:00.000Z"",""type"":""Short Term Rental""},{""date"":""2025-07-21T03:05:39.902Z"",""dateSeen"":[""2025-07-23T07:55:00.000Z""],""firstDateSeen"":""2025-07-21T03:06:00.000Z"",""lastDateSeen"":""2025-07-23T07:55:00.000Z"",""type"":""Short Term Rental""}]",
y8rbvJAB3hcw0YbI-gui,,Berga,SE,,,57.26088,16.01736,,,,,2.0,3.0,,,,Villa,,https://www.airbnb.com/rooms/37642754,"[{""date"":""2024-07-16T18:44:09.573Z"",""dateSeen"":[""2025-05-26T23:31:00.000Z"",""2025-02-25T17:27:00.000Z"",""2025-03-18T01:42:00.000Z"",""2025-05-19T19:26:00.000Z"",""2025-05-13T03:48:00.000Z"",""2025-03-23T16:06:00.000Z"",""2025-05-29T22:26:00.000Z"",""2025-03-09T11:52:00.000Z"",""2025-03-15T21:36:00.000Z"",""2025-06-03T18:34:00.000Z"",""2025-05-19T19:27:00.000Z"",""2025-02-17T17:18:00.000Z""],""firstDateSeen"":""2025-02-17T17:18:00.000Z"",""lastDateSeen"":""2025-06-03T18:34:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-16T18:44:09.573Z"",""dateSeen"":[""2025-02-17T17:19:00.000Z""],""firstDateSeen"":""2025-02-17T17:19:00.000Z"",""lastDateSeen"":""2025-02-17T17:19:00.000Z"",""type"":""Short Term Rental""},{""date"":""2024-07-16T18:44:09.573Z"",""dateSeen"":[""2025-07-23T07:55:00.000Z""],""firstDateSeen"":""2025-02-17T17:18:00.000Z"",""lastDateSeen"":""2025-07-23T07:55:00.000Z"",""type"":""Short Term Rental""}]",
5Mn5xJUBAgEU5ktwmSWM,,Hultsfred,SE,,,57.32319,15.86722,,,,,2.0,2.0,,,,Villa,Kalmar län,https://www.airbnb.com/rooms/37901584,"[{""date"":""2025-03-23T16:01:59.350Z"",""dateSeen"":[""2025-07-22T17:11:00.000Z"",""2025-07-21T03:06:00.000Z"",""2025-07-21T03:27:00.000Z""],""firstDateSeen"":""2025-07-21T03:06:00.000Z"",""lastDateSeen"":""2025-07-22T17:11:00.000Z"",""type"":""Short Term Rental""},{""date"":""2025-03-23T16:01:59.350Z"",""dateSeen"":[""2025-05-13T03:48:00.000Z"",""2025-05-14T08:19:00.000Z""],""firstDateSeen"":""2025-05-13T03:48:00.000Z"",""lastDateSeen"":""2025-05-14T08:19:00.000Z"",""type"":""Short Term Rental""},{""date"":""2025-03-23T16:01:59.350Z"",""dateSeen"":[""2025-07-23T07:55:00.000Z""],""firstDateSeen"":""2025-07-21T03:06:00.000Z"",""lastDateSeen"":""2025-07-23T07:55:00.000Z"",""type"":""Short Term Rental""},{""date"":""2025-03-23T16:01:59.350Z"",""dateSeen"":[""2025-07-22T10:28:00.000Z"",""2025-07-21T04:04:00.000Z""],""firstDateSeen"":""2025-07-21T04:04:00.000Z"",""lastDateSeen"":""2025-07-22T10:28:00.000Z"",""type"":""Short Term Rental""}]",
